Company_ID,Company_Name,Industry,Headquarters_City,Country,Ownership_Type,Customer_Segment,Primary_Cloud,Risk_Rating,Year_Founded,Incorporation_Date,Last_Funding_Date,Employees,Annual_Revenue,Profit_Margin,Market_Share,Product_Lines,R&D_Spending,Average_Salary,Training_Hours_Per_Employee,Employee_Satisfaction,Adoption_Rate_AI,Adoption_Rate_Cloud,Adoption_Rate_Blockchain,CEO_Tenure_Years
807869,Neo Soft 760,HealthTech,Pune,Australia,Private,SME,Azure,Medium,2023,2023-07-15,2025-07-24,44377.0,72997620.95,17.16,33.16,16,3959494.45,3223371.94,90.7,3.99,27.47,78.25,24.77,5
985270,Next Analytics 229,Gaming,Noida,UAE,Startup,B2B2C,GCP,Low,2013,2013-09-17,2023-02-25,3418.0,59970703.86,3.39,11.87,1,4483284.44,3440809.32,77.9,3.01,68.36,33.88,53.1,13
615066,Innova Works 693,Cybersecurity,Chennai,Germany,Startup,B2B,IBM Cloud,Medium,1999,1999-02-01,2004-01-08,3847.0,114654020.4,6.08,25.4,22,26299168.52,3411320.38,93.8,3.11,71.59,62.58,53.26,16
756196,Secure Labs 605,Cybersecurity,Noida,UK,Public,SME,GCP,Low,1992,1992-06-18,1997-03-05,47932.0,48024797.21,26.06,18.9,2,9575493.89,2329426.44,42.3,3.51,61.48,74.21,22.9,1
292453,Logic Systems 31,Cloud Services,,UAE,Private,B2B2C,AWS,Medium,2005,2005-10-20,,13768.0,185152480.4,36.95,2.22,3,30870883.91,1266740.76,90.2,4.94,13.24,93.77,36.81,13
556753,Data Dynamics 239,Enterprise Software,Delhi,Australia,Startup,B2B2C,GCP,Medium,2023,2023-06-28,2025-01-29,34610.0,80552563.19,6.79,24.18,21,11984003.65,2600178.51,104.2,4.9,67.95,88.47,15.48,22
146801,Pixel Soft 575,Cloud Services,Noida,India,Startup,B2C,IBM Cloud,Medium,2003,2003-01-10,2013-04-12,11103.0,67264863.54,20.04,24.18,20,17529799.96,4327726.42,44.7,3.31,10.96,55.85,16.83,11
434129,Cyber Services 430,,Hyderabad,UK,Private,SME,Multi-Cloud,Medium,2007,2007-07-25,2009-11-24,22166.0,164399680.98,38.44,32.58,17,7921390.98,2812955.29,44.1,2.87,60.44,78.94,1.84,21
924528,Blue Stack 604,Cloud Services,Kolkata,Australia,Public,B2B2C,GCP,High,1995,1995-12-18,2006-11-21,36294.0,69710753.61,34.57,17.46,20,6981546.15,445293.3,108.5,2.98,73.78,60.03,71.74,8
975998,Next Soft 778,Gaming,Ahmedabad,Australia,Private,Enterprise,Azure,Medium,1995,1995-10-17,2003-08-10,36235.0,192200954.04,22.79,8.14,22,22580625.95,644814.71,10.7,2.88,24.62,59.19,16.86,8
